feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
V96,1.79403178722024,2.549530007230658,4.5843404563848456,0.17888999992252919,0.17888999992252919
id_15,0.239701589361012,0.14316702819956617,0.4198863884106816,-0.17845530164487755,0.17845530164487755
V294,1.4411287706779112,2.1923355025307303,5.404267405603092,0.1779906833049527,0.1779906833049527
V195,1.173207914369121,0.9804772234273319,0.157937330791987,-0.1770158786902534,0.1770158786902534
V249,1.1933181965617905,1.005061460592914,0.08053982923070155,-0.17504525067655483,0.17504525067655483
V185,0.4281543950697373,0.07230657989877079,0.341073199839015,-0.17453875820442988,0.17453875820442988
V307,323.2335335213837,460.7912144329957,863.6576537191412,0.171355036412167,0.171355036412167
V238,0.3159260460590334,0.06290672451193059,0.37032382568026917,-0.17099097890371395,0.17099097890371395
V221,2.0035679532922477,1.346348517715112,2.3743532991136576,-0.16944617395492353,0.16944617395492353
id_37,0.8945831981835874,0.9464931308749096,0.22512336493361318,0.16901090758071755,0.16901090758071755
V181,0.33506325008108984,0.06218365871294288,0.31214236305308496,-0.168439206170366,0.168439206170366
V187,1.8738241972105092,1.2415039768618945,4.14876558906051,-0.16823237870855326,0.16823237870855326
V47,1.1459617255919559,1.0650759219088937,0.2496642709949351,-0.16777835243759556,0.16777835243759556
V295,0.8874472915990917,1.351409978308026,3.8410169931460825,0.16675653503511167,0.16675653503511167
V191,1.1660720077846254,1.007230657989877,0.12596284287793325,-0.16573421123245388,0.16573421123245388
V125,1.1946156341226077,1.086767895878525,0.328998669929194,-0.16559653792012557,0.16559653792012557
V61,0.9575089198832306,0.8922631959508315,0.434532548376036,-0.16474032738368322,0.16474032738368322
V214,27.00941846744217,5.68445944355091,43.951036462198175,-0.1645544854716453,0.1645544854716453
V291,1.7288355497891663,2.1055676066522055,3.23898412829984,0.1644254134209329,0.1644254134209329
V222,2.231916963996108,1.5083152566883586,3.3577840504973366,-0.16301379020556153,0.16301379020556153
V247,1.1748297113201427,1.002169197396963,0.04654093018200541,-0.16177386293364865,0.16177386293364865
V158,1.2182938696075252,0.9660159074475777,0.31531431456276804,-0.16023096362734685,0.16023096362734685
V149,1.1689912422964646,0.9515545914678236,0.24909991025337094,-0.1599291581809607,0.1599291581809607
D9,0.6126062136519238,0.6478663221357184,0.1392722752263739,0.1578939436239656,0.1578939436239656
V183,0.41420694129095037,0.09327548806941431,0.576284484914854,-0.1574298064617353,0.1574298064617353
V278,30.445370473685376,5.687584334323136,36.31923603492738,-0.1566594104192043,0.1566594104192043
V46,1.0752513785274083,1.024584237165582,0.1549103095538079,-0.15662092959818483,0.15662092959818483
V156,1.1939669153421992,0.9515545914678236,0.24909991025337094,-0.15635806855956025,0.15635806855956025
V314,74.8937497322257,112.30679306601237,274.8677384942704,0.15590416655048733,0.15590416655048733
V7,1.0499513460914693,1.0882140274765004,0.3241797939708866,0.15562399433699373,0.15562399433699373
V140,1.3055465455724944,1.032537960954447,0.5535935698999976,-0.15536793984661557,0.15536793984661557
id_29,0.15439506973726888,0.09833694866232827,0.2978774101983177,-0.15511993883904232,0.15511993883904232
id_28,0.15407071034706454,0.09833694866232827,0.2978774101983177,-0.15435504811137155,0.15435504811137155
V127,246.2079526376616,350.77783288079934,789.7864735405728,0.15368084965288414,0.15368084965288414
V154,1.1407719753486862,0.9508315256688359,0.23856866924656883,-0.15346917207073657,0.15346917207073657
V276,28.618126003996643,4.807613256955095,31.166094417364892,-0.1530485370711574,0.1530485370711574
C5,2.133960428154395,4.551699204627621,22.96795183532993,0.15290510692977308,0.15290510692977308
card5,194.11709373986378,200.941431670282,41.59755030049705,0.15241136996501817,0.15241136996501817
V277,32.9712252599869,8.482966836086668,48.150259128885644,-0.15234954956959115,0.15234954956959115
