feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
V78,77.3801498413086,0.0030886536,-0.00044256630442292,0.01281028366223702,0.011300679431449587,0.012005217,0.034743714831194115,0.37575188827099615,0.10845037497675275
V157,24.851964950561523,8.472355e-05,8.907762149679144e-07,0.012701119153889495,0.0036294074090561005,0.00032931005,0.052571050758806186,0.3725498693910649,0.10726990940106798
V50,119.45064544677734,0.0020466463,-0.00014837228439481542,0.012142223261812912,0.01744469938145762,0.007955063,0.046570554117177455,0.3561563068180714,0.10703165586278458
V92,83.82727813720703,0.002412138,-0.00012265851903352497,0.01222031799152723,0.012242224908872302,0.009375685,0.0476042684337921,0.35844698537975467,0.10691729090426011
V42,46.26338195800781,0.0006585904,3.949689596804973e-06,0.01238725743366631,0.006756353535038766,0.00255986,0.05269402156886302,0.3633436615396729,0.1063384741619217
V148,26.54146957397461,0.00028856748,-4.878782845496588e-07,0.012480768489999905,0.003876144462244784,0.0011216264,0.05251562772473114,0.3660865325734458,0.10589998277809544
V93,18.141992568969727,5.4362492e-05,-4.544931454031342e-06,0.012506039277242031,0.002649475901637778,0.00021130033,0.05235253088202317,0.366827776582922,0.10551027092373921
V154,12.825684547424316,4.682436e-05,-3.126063035985283e-07,0.012471889601266106,0.001873076620510298,0.00018200054,0.05252267380116004,0.36582609656004916,0.10510096188088655
V75,77.15602111816406,0.00770043,0.00035646147783259253,0.010577011984710838,0.011267947434201833,0.029930627,0.0668652826484763,0.3102454504763112,0.10457732688312478
V49,150.4771270751953,0.026726145,0.0005640335809886654,0.00738990650127147,0.02197583977712194,0.10388125,0.07520985030503816,0.2167611112456792,0.10445701216736804
V241,0.0,0.0,0.0,0.012368008619214832,0.0,0.0,0.052535240829246106,0.3627790543406581,0.10382857379247605
V94,84.954345703125,0.0012262358,-5.457332134128912e-06,0.01177511590347513,0.012406823055634016,0.004766228,0.05231585163134735,0.34538829521656167,0.1037192995116672
