feature,global_mean,fp_mean,fp_std,deviation,abs_deviation
V24,1.0549553515991015,1.0839668279198342,0.37764898503621996,0.10562553454864884,0.10562553454864884
V127,1349.8930157481311,216.88437775768077,640.5407625900993,-0.10560625942990225,0.10560625942990225
V102,10.231787855183391,0.5431928127159641,1.2248296647746137,-0.10521809013679613,0.10521809013679613
V168,7.588455763651347,0.5331720801658604,1.8399788356272462,-0.10515059680388816,0.10515059680388816
V180,0.8778857768595975,0.1686247408431237,1.2565364703432393,-0.1051123877213796,0.1051123877213796
V136,129.36821566746815,35.41844917439393,215.1176354095196,-0.10503622489172489,0.10503622489172489
V182,0.870423680021675,0.16447823082239116,1.1095706518738087,-0.10497549088110925,0.10497549088110925
id_20,461.09371084092527,453.3624740843124,100.59096511242312,-0.10485962638867156,0.10485962638867156
V286,0.028448538625664647,0.046993780234968904,0.23192252145605838,0.1047529783765722,0.1047529783765722
V179,6.949413531118411,0.3306841741534209,1.3863857381371856,-0.10472705132418379,0.10472705132418379
V104,0.23882096612140302,0.08673116793365584,0.3714818732867877,-0.1046416634050329,0.1046416634050329
V328,0.19483862227791512,0.04457498272287491,0.33323241040791113,-0.10452779705654609,0.10452779705654609
id_13,51.408688093383454,50.724602626123016,9.883796113393743,-0.10384221287931454,0.10384221287931454
V250,0.9387114618258995,0.9053213545266068,0.3595798000581345,-0.10369634779430645,0.10369634779430645
V204,813.1332694169436,63.02882877253794,612.4053648315044,-0.10344124182728341,0.10344124182728341
V100,0.427473160158499,0.28541810642709053,0.5743222591989752,-0.10335420395219719,0.10335420395219719
V212,972.2192234388287,27.159650824567574,245.31826334071343,-0.10323212888727076,0.10323212888727076
V178,9.298720944672109,0.3756046993780235,1.6854963432727024,-0.1028185392032838,0.1028185392032838
V203,1110.822614616642,85.65296278814654,895.8324005385405,-0.10202960050016288,0.10202960050016288
V144,0.21477517752113884,0.06427090532135453,0.4239811037773483,-0.10201931634283992,0.10201931634283992
V134,810.1019047820496,90.31600653663864,383.1532234334135,-0.10154428127344099,0.10154428127344099
dist2,44.950294081123495,55.58154803040774,138.99028787147012,0.1014307880181498,0.1014307880181498
V297,0.23300707826734854,0.0967519004837595,0.42676990316444746,-0.10044139858188766,0.10044139858188766
V133,1079.5400346259896,107.26762712891545,423.59075380335565,-0.10033439052363004,0.10033439052363004
V325,0.017407796254275746,0.000691085003455425,0.026283951789459192,-0.10000398066670967,0.10000398066670967
V295,7.631986543389666,1.0521769177608846,5.017119716260797,-0.09983385621122524,0.09983385621122524
V322,5.487023176527698,0.1050449205252246,0.5446107595516293,-0.09955589754069286,0.09955589754069286
V280,8.7451146408372,1.7121630960608154,5.186438745188622,-0.09948040859845651,0.09948040859845651
V128,937.956404363244,180.61157886621123,513.9390847356367,-0.09935288359500274,0.09935288359500274
V331,603.9810884958267,15.759502418797512,109.48926558727014,-0.09910715406941119,0.09910715406941119
V210,8.594728538043974,2.752797366177204,19.325004807717054,-0.0986535989506075,0.0986535989506075
V183,0.4743116469671826,0.13061506565307532,0.6190398509657498,-0.09860341509733148,0.09860341509733148
V143,5.292263577968187,0.09364201796821009,0.5570225439416718,-0.09825476998346726,0.09825476998346726
V272,1.3033040901813082,2.9773064821278874,20.182821100582412,0.09768388679147846,0.09768388679147846
V108,1.0052945891331098,1.0134761575673807,0.1153219240423804,0.09759528890749126,0.09759528890749126
V164,582.0866857417085,16.564246709542843,165.1673943893973,-0.09748096557400955,0.09748096557400955
V338,108.73609239056714,17.779889426399446,217.5343485673572,-0.09692489988733757,0.09692489988733757
V117,1.0000903128210339,1.003800967519005,0.06154534117900627,0.09686076857803477,0.09686076857803477
V211,554.8924685104292,12.668735142856445,54.275561916273126,-0.09537397098730636,0.09537397098730636
V202,583.0166339639459,29.733240282403738,175.85154611393403,-0.09513888397439868,0.09513888397439868
V101,5.360630383490816,0.3417415342087077,0.8174170456812115,-0.09488920792320994,0.09488920792320994
V95,5.676770413519829,0.5632342778161714,1.0431294031243246,-0.09463959150445132,0.09463959150445132
V54,0.7326853388424154,0.7809260539046303,0.6518094462009353,0.09410968941039587,0.09410968941039587
V167,5.329969180749822,0.3676572218382861,1.2395170825699575,-0.09385872023235499,0.09385872023235499
V177,5.097334642869239,0.248790601243953,1.0969068107031106,-0.09364816101425932,0.09364816101425932
V148,0.9700500107246475,0.9982722874913614,0.171400930862116,0.09298801464448714,0.09298801464448714
V293,5.424537993474899,0.545611610228058,1.455109983151097,-0.09224662326036759,0.09224662326036759
V318,820.447527889195,166.83749445955672,737.8708129295972,-0.092189869850769,0.092189869850769
V310,154.2612687275531,117.27703688584613,365.4836369103861,-0.09172322059949949,0.09172322059949949
V132,592.2623395231017,61.593998938078045,241.6041627781464,-0.09149490665548114,0.09149490665548114
V307,1380.8288862674392,408.0972917641783,1777.2935418039483,-0.09106227564718258,0.09106227564718258
P_emaildomain,21.7868617423601,20.34277816171389,12.396017056876756,-0.09091256101005357,0.09091256101005357
V279,5.759090549892189,0.8597097442985487,1.63324455700557,-0.0907657458593358,0.0907657458593358
V320,126.89087538043817,43.80700340383038,249.03831451810095,-0.09007877322951799,0.09007877322951799
V126,637.7122189820158,106.99970601720487,319.63248830317787,-0.0895667918885046,0.0895667918885046
V294,10.449994919903817,2.19937802349689,23.363284342416083,-0.08936493697436096,0.08936493697436096
V188,1.0091103058217903,1.0521769177608846,0.30613119769681435,0.08886237613968437,0.08886237613968437
V169,0.037874939321073366,0.08396682791983413,0.6008969159804379,0.08865324324999825,0.08865324324999825
V251,0.9398290829861934,0.9111955770559779,0.37192210236264633,-0.08850591681198375,0.08850591681198375
